date,air_temp,shortwave_rad,precip,vpd,gpp
2000-04-30,13.625,164.75,0.0625,0.24716635777216434,8.938776
2000-05-01,14.25,215.8125,0.25,0.27765333535803194,10.08448
2000-05-02,13.25,137.75,0.1875,0.15858894690197767,8.81581
2000-05-03,12.4375,128.5,0.8125,0.02971657447697096,6.706596
2000-05-04,14.0625,143.5,1.625,0.16218000879056227,8.411383
2000-05-05,16.625,253.4375,0.0625,0.5061797238803436,8.3402195
2000-05-06,17.3125,245.3125,0.375,0.5718383041832309,7.688589
2000-05-07,16.5625,208.5625,4.4375,0.4888964984493749,7.684311
2000-05-08,16.625,226.75,2.25,0.49556056883390287,8.0483675
2000-05-09,18.25,261.5,0.0625,0.7412443516557707,8.680721
2000-05-10,18.25,242.8125,1.5,0.6144353532243603,8.941411
2000-05-11,18.625,191.5625,24.375,0.4938585086932923,8.844448
2000-05-12,16.25,86.5625,4.5625,0.16475093601981028,6.5263896
2000-05-13,17.5625,219.25,0.6875,0.4306897592062122,7.1567097
2000-05-14,18.0625,294.9375,1.125,0.7558303114657465,7.71788
2000-05-15,19.125,307.75,0.0,1.027308442879205,7.7027607
2000-05-16,20.125,271.625,0.1875,0.8594741987063863,7.655102
2000-05-17,13.75,195.1875,12.5,0.3060810368585243,6.263662
2000-05-18,9.1875,180.9375,4.9375,0.14367377427643202,6.8051534
2000-05-19,7.6875,193.25,9.9375,0.08456735403588966,6.650864
2000-05-20,8.6875,230.375,1.5,0.23362276601109966,6.088761
2000-05-21,8.125,103.75,7.875,0.13371954981110268,6.761015
2000-05-22,9.75,183.25,5.75,0.09720852792206669,4.112909
2000-05-23,12.375,141.75,0.0,0.33182240771154636,8.931435
2000-05-24,13.5625,68.6875,1.3125,0.23744189159505336,6.2960362
2000-05-25,12.1875,97.4375,4.4375,0.24449240837777753,7.4823327
2000-05-26,12.625,247.5625,0.125,0.40294364505243085,8.13841
2000-05-27,11.125,235.1875,0.5,0.400539611582573,8.474638
2000-05-28,9.75,232.5625,4.0,0.293132692726232,7.0189934
2000-05-29,8.0,216.0625,4.0,0.17410737793777176,7.2274323
2000-05-30,8.25,102.625,9.375,0.12123609531480328,6.2348995
2000-05-31,11.625,192.4375,3.125,0.3055969542190957,8.311582
2000-06-01,15.125,199.5625,0.0,0.4031182417201187,9.520853
2000-06-02,18.625,274.5,0.25,0.4657527399058694,9.675894
2000-06-03,20.0,269.1875,6.9375,0.5146289973753286,9.144425
2000-06-04,17.75,182.1875,0.5625,0.3179869795940986,10.7011795
2000-06-05,14.3125,103.3125,9.5,0.12412724959770549,6.3378015
2000-06-06,11.5,191.0625,5.8125,0.20233854310062171,8.016485
2000-06-07,11.5625,206.0,0.0,0.35109435581923165,8.335765
2000-06-08,14.6875,319.3125,0.0,0.5774694526248747,9.394232
2000-06-09,21.0625,294.375,0.0,0.8981156009731508,9.763426
2000-06-10,18.1875,217.375,0.875,0.34638373410475976,8.535084
2000-06-11,14.0,173.125,0.25,0.3330200549997431,9.177535
2000-06-12,14.5625,291.5,0.0,0.3918843113151569,9.328604
2000-06-13,18.875,314.0625,0.0,0.541055213123395,8.917305
2000-06-14,17.125,166.1875,0.0,0.32395906054961765,7.876267
2000-06-15,14.375,151.8125,0.5,0.2022677343145698,5.300456
2000-06-16,12.5625,263.75,0.0,0.44306113385888857,11.733371
2000-06-17,14.125,329.1875,0.0,0.6503454632722072,9.903228
2000-06-18,19.625,325.0625,0.0,1.1494805478660923,8.916533
2000-06-19,23.0,323.875,0.0,1.2768940665356658,8.505483
2000-06-20,23.5,319.4375,0.0,1.1878551227619392,8.840276
2000-06-21,20.375,261.75,2.125,0.6281514641751473,9.21868
2000-06-22,15.875,207.3125,4.4375,0.46345063575163636,9.5503645
2000-06-23,13.3125,219.625,1.5,0.229795845243852,7.0546703
2000-06-24,10.75,190.9375,4.6875,0.11116651681221934,6.583248
2000-06-25,10.375,205.5625,1.9375,0.11706858758233052,7.72329
2000-06-26,9.875,197.8125,0.1875,0.2803987563072625,8.825603
2000-06-27,10.75,304.9375,0.0,0.3616939568745393,10.491998
2000-06-28,11.3125,285.6875,0.0,0.3779502452373644,10.643016
2000-06-29,11.1875,228.3125,0.0,0.29688286439792866,8.75335
2000-06-30,14.75,165.4375,0.625,0.29617930211242993,8.756634
2000-07-01,17.6875,212.1875,14.1875,0.4075952555718201,9.139643
2000-07-02,18.8125,212.6875,10.8125,0.35749343397213607,10.042075
2000-07-03,16.9375,182.75,2.75,0.24792568677665172,9.246394
2000-07-04,14.5,114.6875,23.125,0.13799771650564985,6.8555207
2000-07-05,14.3125,195.3125,5.9375,0.1648247084821992,7.357054
2000-07-06,15.875,175.625,0.1875,0.3295898938719162,9.690616
2000-07-07,13.875,89.5625,11.375,0.10285796494817023,5.4896665
2000-07-08,10.4375,138.0,4.125,0.13175879321746664,6.5039706
2000-07-09,11.625,56.875,14.75,0.05804634884608517,5.290761
2000-07-10,12.5,214.5,8.1875,0.1265880733054625,6.481952
2000-07-11,10.375,74.25,7.125,0.030642113528261072,3.9538708
2000-07-12,9.9375,250.8125,7.1875,0.1365900083286411,6.0697846
2000-07-13,11.75,89.625,4.8125,0.07918366197790694,5.028568
2000-07-14,11.5,171.875,27.875,0.09651294524464804,4.6580024
2000-07-15,10.1875,167.3125,12.875,0.06828170312843329,6.003082
2000-07-16,11.0,134.625,11.625,0.06798019874737427,6.1006126
2000-07-17,12.125,151.625,2.875,0.1737953744414671,8.111166
2000-07-18,12.75,199.875,0.1875,0.3198564382903495,8.159477
2000-07-19,13.0,118.625,0.6875,0.23169931520610842,6.727003
2000-07-20,15.4375,212.375,0.125,0.43972152529535435,9.591925
2000-07-21,14.375,260.125,0.0,0.3555008663710617,8.57256
2000-07-22,13.5625,164.4375,0.0,0.257794053731772,10.723184
2000-07-23,16.5,222.875,0.0,0.4108715083678758,10.496654
2000-07-24,16.25,100.125,24.1875,0.21544353171821373,3.9540474
2000-07-25,13.75,106.4375,10.1875,0.07652025921463101,2.838621
2000-07-26,13.8125,83.625,1.375,0.10638181435393612,4.4857774
2000-07-27,15.0,96.8125,9.4375,0.0989096863984471,5.204864
2000-07-28,14.8125,182.1875,2.0,0.19439637842411095,8.517105
2000-07-29,13.9375,123.625,4.875,0.13207369361043142,6.1281295
2000-07-30,15.5,222.375,0.125,0.21744816705290115,9.161296
2000-07-31,17.4375,192.9375,0.0625,0.4446981805162946,9.892035
2000-08-01,20.3125,276.6875,0.0,0.7446374491206083,8.283229
2000-08-02,16.9375,235.375,4.125,0.4585421682616715,8.288775
2000-08-03,15.625,214.25,4.875,0.36975349186762707,8.651607
2000-08-04,15.0,199.4375,0.1875,0.3616053051126027,8.68361
2000-08-05,16.0,206.125,0.0,0.35830968831502985,10.794854
2000-08-06,16.125,173.5625,0.0,0.341746847956494,9.192693
2000-08-07,17.625,188.0,0.0,0.36325751111354454,7.771696
2000-08-08,17.3125,178.375,18.5,0.3154969954114377,8.298133
2000-08-09,17.8125,183.5,0.4375,0.38919319864416235,8.074581
2000-08-10,18.125,206.0625,0.0,0.385237896423656,7.718943
2000-08-11,17.875,244.0,0.0625,0.5605517559380262,8.558326
2000-08-12,19.1875,267.0,0.0,0.6639781241275926,8.353684
2000-08-13,20.9375,264.5,0.0,0.8201953655200698,8.095931
2000-08-14,21.375,212.4375,0.1875,0.7028788279306444,8.121869
2000-08-15,18.25,122.375,2.1875,0.2836861098929493,5.237558
2000-08-16,17.6875,184.125,0.375,0.37226192072348896,7.399833
2000-08-17,18.0625,196.9375,0.1875,0.3811451997989661,6.9100137
2000-08-18,17.5,207.25,0.8125,0.4265016650097444,8.608811
2000-08-19,18.625,168.9375,12.4375,0.18603342197389594,7.8864155
2000-08-20,18.0,127.8125,20.25,0.1492868303462196,6.419659
2000-08-21,14.75,155.3125,0.1875,0.24280423353386493,8.092315
2000-08-22,14.5,188.375,0.25,0.40266497875902285,8.944067
2000-08-23,15.9375,233.875,0.0,0.48676187525686854,10.995477
2000-08-24,17.6875,247.4375,0.0,0.5880476442615112,9.4936905
2000-08-25,17.25,249.25,0.0,0.5523991611290757,8.287239
2000-08-26,19.125,235.3125,0.0,0.5882169310034158,6.6636987
2000-08-27,15.75,87.0625,7.4375,0.12721624389568942,5.0167937
2000-08-28,14.0625,163.0625,1.5625,0.2622911253279463,6.304855
2000-08-29,14.1875,166.375,0.0,0.3804852802668961,6.9156985
2000-08-30,14.3125,177.0625,0.0,0.38560842293057696,9.249712
2000-08-31,14.6875,164.5625,0.0,0.3815050896402601,8.681582
2000-09-01,13.75,99.375,9.6875,0.15402154739355223,5.659659
2000-09-02,12.25,77.1875,10.8125,0.06493257000348551,3.922098
